1825	4	1	0	-1	-1
1834	4	1	0	-1	-1
1846	4	1	0	-1	-1
1822	3	1	0	-1	-1
1823	3	1	0	-1	-1
1824	3	1	0	-1	-1
1848	3	1	0	-1	-1
1596	0	1	0	-1	-1
1597	0	1	0	-1	-1
1598	0	1	0	-1	-1
1599	0	1	0	-1	-1
1600	0	1	0	-1	-1
1606	0	1	0	467	-1
1608	0	1	0	595	-1
1609	0	1	0	-1	-1
1614	0	1	0	-1	-1
1621	0	1	0	-1	-1
1623	0	1	0	-1	-1
1624	0	1	0	-1	-1
1625	0	1	0	10876	-1
1626	0	1	0	1845	-1
1627	0	1	0	5	-1
1628	0	1	0	726	-1
1629	0	1	0	56	-1
1630	0	1	0	432	-1
1631	0	1	0	50	-1
1632	0	1	0	678	-1
1633	0	1	0	-1	-1
1634	0	1	0	-1	-1
1635	0	1	0	-1	-1
1636	0	1	0	862	-1
1637	0	1	0	778	-1
1638	0	1	0	53	-1
1639	0	1	0	95	-1
1640	0	1	0	54	-1
1641	0	1	0	292	-1
1642	0	1	0	234	-1
1643	0	1	0	0	-1
1644	0	1	0	314	-1
1645	0	1	0	129	-1
1646	0	1	0	115	-1
1647	0	1	0	29	-1
1648	0	1	0	2	-1
1649	0	1	0	122	-1
1650	0	1	0	64	-1
1651	0	1	0	125	-1
1652	0	1	0	163	-1
1653	0	1	0	79	-1
1654	0	1	0	4	-1
1655	0	1	0	219	-1
1656	0	1	0	-1	-1
1657	0	1	0	28	-1
1658	0	1	0	15	-1
1659	0	1	0	14	-1
1660	0	1	0	7	-1
1661	0	1	0	42	-1
1662	0	1	0	24	-1
1663	0	1	0	25	-1
1664	0	1	0	6	-1
1665	0	1	0	27	-1
1666	0	1	0	26	-1
1667	0	1	0	-1	-1
1668	0	1	0	24	-1
1669	0	1	0	3	-1
1671	0	1	0	-1	-1
1672	0	1	0	-1	-1
1673	0	1	0	-1	-1
1674	0	1	0	-1	-1
1675	0	1	0	-1	-1
1676	0	1	0	-1	-1
1677	0	1	0	-1	-1
1678	0	1	0	-1	-1
1679	0	1	0	-1	-1
1680	0	1	0	-1	-1
1681	0	1	0	534	-1
1682	0	1	0	-1	-1
1683	0	1	0	2352	-1
1684	0	1	0	-1	-1
1685	0	1	0	-1	-1
1686	0	1	0	-1	-1
1687	0	1	0	-1	-1
1689	0	1	0	13338	13290
1692	0	1	0	-1	-1
1693	0	1	0	-1	-1
1694	0	1	1	-1	-1
1695	0	1	1	-1	-1
1711	0	1	0	-1	-1
1716	0	1	0	-1	-1
1717	0	1	0	-1	-1
1718	0	1	0	-1	-1
1719	0	1	0	-1	-1
1722	0	1	0	-1	-1
1724	0	1	0	3708	-1
1725	0	1	0	3693	-1
1726	0	1	0	-1	-1
1727	0	1	0	-1	-1
1728	0	1	0	938	-1
1729	0	1	0	4318	-1
1732	0	1	0	-1	-1
1749	0	1	0	-1	-1
1750	0	1	0	-1	-1
1759	0	1	0	627	-1
1760	0	1	0	128	-1
1761	0	1	0	243	-1
1762	0	1	0	12	-1
1763	0	1	0	-1	-1
1766	0	1	0	256	-1
1767	0	1	0	22	-1
1768	0	1	0	-1	-1
1769	0	1	0	-1	-1
1770	0	1	0	-1	-1
1784	0	1	0	-1	-1
1785	0	1	0	-1	-1
1787	0	1	0	5310	-1
1788	0	1	0	-1	-1
1789	0	1	0	-1	-1
1790	0	1	0	-1	-1
1795	0	1	0	-1	-1
1796	0	1	0	-1	-1
1797	0	1	0	-1	-1
1798	0	1	0	-1	-1
1799	0	1	0	-1	-1
1807	0	1	0	-1	-1
1809	0	1	0	312	-1
1810	0	1	0	927	-1
1811	0	1	0	10	-1
1812	0	1	0	132	-1
1813	0	1	0	-1	-1
1814	0	1	0	-1	-1
1815	0	1	0	-1	-1
1817	0	1	0	1323	-1
1818	0	1	0	1654	-1
1819	0	1	0	-1	-1
1821	0	1	0	-1	-1
1826	0	1	0	-1	-1
1828	0	1	0	-1	-1
1829	0	1	0	-1	-1
1830	0	1	0	-1	-1
1831	0	1	0	-1	-1
1832	0	1	0	-1	-1
1833	0	1	0	-1	-1
1835	0	1	0	-1	-1
1836	0	1	0	-1	-1
1837	0	1	0	-1	-1
1838	0	1	0	-1	-1
1839	0	1	0	-1	-1
1843	0	1	0	-1	-1
1849	0	1	0	-1	-1
1850	0	1	0	-1	-1
1851	0	1	0	-1	-1
1852	0	1	0	-1	-1
1853	0	1	0	-1	-1
1854	0	1	0	-1	-1
1859	0	1	1	-1	-1
1864	0	1	0	-1	-1
1865	0	1	0	-1	-1
1867	0	1	0	-1	-1
1868	0	1	0	-1	1027
1870	0	1	0	-1	-1
1872	0	1	0	-1	-1
1873	0	1	0	-1	-1
1874	0	1	0	-1	-1
1875	0	1	0	-1	-1
1876	0	1	0	-1	-1
1877	0	1	0	-1	-1
1878	0	1	0	11528	-1
1879	0	1	0	-1	-1
1880	0	1	0	-1	-1
1891	0	1	0	-1	-1
1909	0	1	0	8171	-1
1910	0	1	0	-1	-1
1911	0	1	0	-1	-1
1912	0	1	0	498	-1
1913	0	1	0	-1	-1
1914	0	1	0	-1	-1
1915	0	1	0	-1	-1
1916	0	1	0	11413	-1
1917	0	1	0	-1	-1
1918	0	1	0	-1	-1
1919	0	1	0	-1	-1
1920	0	1	0	-1	-1
1921	0	1	0	-1	-1
1922	0	1	0	1985	-1
1923	0	1	0	6110	-1
1924	0	1	0	-1	-1
1925	0	1	0	-1	-1
1926	0	1	0	-1	-1
1928	0	1	0	-1	-1
1930	0	1	0	-1	-1
1932	0	1	0	-1	-1
1933	0	1	0	-1	-1
1934	0	1	0	-1	-1
1935	0	1	0	-1	-1
1936	0	1	0	-1	-1
1937	0	1	0	-1	-1
1939	0	1	0	-1	-1
1940	0	1	0	-1	-1
1941	0	1	0	-1	-1
1942	0	1	0	-1	-1
1943	0	1	0	-1	-1
1944	0	1	0	-1	-1
1945	0	1	0	-1	-1
1948	0	1	0	-1	-1
1949	0	1	0	-1	-1
1950	0	1	0	-1	-1
1952	0	1	0	-1	-1

